transaction_merchants_code,name,mcc,mcc_category,n_txns,median_amount,ecommerce_rate,name_category,mcc_override,mcc_emb_category,mcc_emb_conf,final_category,source,confidence,correction_flag
100034513846304,Kleine Brug,5172,Petroleum and Petroleum Products,6,7.970000000000001,0.0,,,Transport,0.23343898355960846,Personal Care,name_embedding,0.19521959125995636,False
100079439990198,Oude Markt,7941,"Commercial Sports, Athletic Fields, Professional Sport Clubs, and Sport Promoters",31,9.52,0.16129032258064516,,,Services,0.4147164225578308,Services,mcc_embedding,0.4147164225578308,False
100113066699957,Supermarkt Delft,5499,Misc. Food Stores – Convenience Stores and Specialty Markets,177,2.58,0.24293785310734464,Groceries,,Groceries,0.5560568571090698,Groceries,mcc_embedding,0.5560568571090698,False
100312520202619,Supermarkt Dordrecht,5499,Misc. Food Stores – Convenience Stores and Specialty Markets,129,3.42,0.2421875,Groceries,,Groceries,0.5560568571090698,Groceries,mcc_embedding,0.5560568571090698,False
100461596958903,Grote Tulp Leiden,5099,"Durable Goods, Not Elsewhere Classified",1,4.69,0.0,,,Other,0.43106961250305176,Other,mcc_embedding,0.43106961250305176,False
100484614051577,Kleine Plein Leidschendam,7542,Car Washes,8,2.355,0.125,,,Transport,0.22666199505329132,Personal Care,name_embedding,0.14322462677955627,False
100702180532774,Klaas & Klaas Zoetermeer Eenmanszaak,8021,Dentists and Orthodontists,1,340.95,0.0,,Health & Pharmacy,Health & Pharmacy,0.5077815055847168,Health & Pharmacy,mcc_rule,1.0,False
101119734469178,Snackbar Alphen,5814,Fast Food Restaurants,732,8.725000000000001,0.20930232558139536,Restaurants & Takeaway,,Restaurants & Takeaway,0.6541633009910583,Restaurants & Takeaway,mcc_embedding,0.6541633009910583,False
101277424830971,Grote Park Voorburg Eenmanszaak,8641,"Civic, Fraternal, and Social Associations",61,7.1,0.19672131147540983,,,Transport,0.23316015303134918,Restaurants & Takeaway,name_embedding,0.26651206612586975,False
101390213925223,Rode Tulp Schiedam Eenmanszaak,6513,Real Estate Agents and Managers - Rentals,26,19.21,0.07692307692307693,,,Services,0.34545645117759705,Services,mcc_embedding,0.34545645117759705,False
101561367234163,Rode Plein,5712,"Furniture, Home Furnishings, and Equipment Stores, ExceptAppliances",50,17.175,0.24489795918367346,,,Groceries,0.5632016062736511,Groceries,mcc_embedding,0.5632016062736511,False
101998447357712,Kruidenier Blauwe B.V.,5411,"Grocery Stores, Supermarkets",160,9.555,0.23270440251572327,Groceries,,Groceries,0.7774403095245361,Groceries,mcc_embedding,0.7774403095245361,False
102296861861567,Anne & Anne Voorburg B.V.,3642,NOVOTEL HOTELS,1,75.24,0.0,,,Travel,0.3349783420562744,Travel,mcc_embedding,0.3349783420562744,False
102424722453118,Piet & Piet Leiden,0780,Unknown,20,8.67,0.2,,,Other,0.33737078309059143,Other,mcc_embedding,0.33737078309059143,False
102686483379787,Piet & Piet Leiden,7699,Repair Shops and Related Services –Miscellaneous,5,89.62,0.4,,,Services,0.5460224151611328,Services,mcc_embedding,0.5460224151611328,False
102835137488804,Supermarkt Delft V.O.F.,5411,"Grocery Stores, Supermarkets",1273,9.07,0.21434200157604413,Groceries,,Groceries,0.7774403095245361,Groceries,mcc_embedding,0.7774403095245361,False
103034930430684,Witte Park,9311,Tax Payments,25,7.69,0.28,,,Income,0.42600902915000916,Income,mcc_embedding,0.42600902915000916,False
103214158777140,Zilveren Molen,8699,Membership Organizations ( Not Elsewhere Classified),64,8.23,0.3333333333333333,,,Services,0.3695424497127533,Services,mcc_embedding,0.3695424497127533,False
103261273417070,Rode Park Alphen Eenmanszaak,0763,Unknown,9,4.05,0.2222222222222222,,,Other,0.33737078309059143,Transport,name_embedding,0.20050230622291565,False
103474041936093,Max & Max Schiedam,9405,Intra – Government Transactions,1,2.88,0.0,,,Cash & ATM,0.4262481927871704,Cash & ATM,mcc_embedding,0.4262481927871704,False
103513433540255,Witte Winkel Leiden B.V.,5200,Home Supply Warehouse Stores,15,15.97,0.3333333333333333,,,Shopping,0.5079731345176697,Shopping,mcc_embedding,0.5079731345176697,False
